순위,관광지명,주소,분류,외지인 검색 수
1,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,472746
2,이케아동부산점,부산 기장군 동부산관광3로 17-0,쇼핑센터,331950
3,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑센터,290448
4,해동용궁사,부산 기장군 용궁길 86-0,절,164603
5,아난티힐튼부산,부산 기장군 기장해안로 268-32,호텔,148413
6,기장시장,부산 기장군 읍내로104번길 16-0,재래시장,121400
7,일광해수욕장,부산 기장군 삼성3길 0-0,해수욕장,88989
8,대변항,부산 기장군 기장해안로 0-0,항구,74237
9,기장해녀촌,부산 기장군 연화1길 184-0,관광명소기타,60867
10,홈플러스부산정관점,부산 기장군 정관5로 50-0,쇼핑센터,54335
11,해운대CC,부산 기장군 병산2로 265-0,골프장,44501
12,장안사,부산 기장군 장안로 482-0,절,43716
13,아홉산숲,부산 기장군 미동길 37-1,동식물원,41268
14,해운대비치골프앤리조트,부산 기장군 대변로 74-0,골프장,40021
15,임랑해수욕장,부산 기장군,해수욕장,39272
16,죽성드림세트장,부산 기장군,촬영지,38317
17,국립부산과학관,부산 기장군 동부산관광6로 59-0,과학관,37968
18,스톤게이트CC,부산 기장군 곡천길 317-0,골프장,36161
19,스카이라인루지부산,부산 기장군,레저/스포츠기타,35212
20,베이사이드GC,부산 기장군 이천8길 100-0,골프장,34177
21,아난티코브,부산 기장군 기장해안로 268-32,종합위락시설,29951
22,엘피지에이인터내셔널부산,부산 기장군 차양길 26-0,골프장,26080
23,롯데몰메종동부산,부산 기장군 동부산관광로 8-0,쇼핑센터,24828
24,기장동원로얄컨트리클럽,부산 기장군 반송로 1345-0,골프장,19542
25,고리원자력홍보관,부산 기장군,박물관/기념관,17735
26,메가마트기장점,부산 기장군 기장대로 673-0,쇼핑센터,17493
27,롯데시네마드라이브오시리아,부산 기장군,극장,15180
28,학리방파제,부산 기장군,방파제,14756
29,칠암방파제,부산 기장군,방파제,13856
30,용소웰빙공원,부산 기장군,공원,13531
31,CGV정관,부산 기장군 정관중앙로 45-0,극장,13529
32,탑마트정관점,부산 기장군 산단1로 133-0,쇼핑기타,12315
33,국립수산과학관,부산 기장군 기장해안로 216-0,과학관,11768
34,롯데마트동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,11303
35,해광사,부산 기장군 기장해안로 340-0,절,10950
36,기장현대차드림볼파크,부산 기장군 체육공원1로 155-0,운동장,10155
37,신평소공원,부산 기장군 일광로 582-47,공원,10123
38,메가박스정관,부산 기장군 정관6로 39-0,극장,9988
39,롯데몰동부산점,부산 기장군 기장해안로 147-0,쇼핑센터,8687
40,기장도서관,부산 기장군 차성동로126번길 13-5,문화생활시설기타,8555
41,아난티펜트하우스해운대,부산 기장군 기장해안로 268-31,콘도/리조트,7866
42,부산 칠드런스 뮤지엄,부산 기장군 기장해안로 172-0,테마파크,7822
43,탑마트기장점,부산 기장군 대청로71번길 5-0,쇼핑기타,7685
44,남광식육점,부산 기장군 정관덕산길 30-0,쇼핑기타,7678
45,대변방파제,부산 기장군,방파제,7476
46,기장체육관,부산 기장군 기장대로 650-0,운동장,7329
47,고리스포츠문화센터,부산 기장군 해맞이로 454-0,문화생활시설기타,6818
48,동부산온천호텔,부산 기장군 장안로 38-0,호텔,6710
49,아시아드컨트리클럽,부산 기장군 차양길 26-0,골프장,6608
50,다이소정관신도시점,부산 기장군 정관7로 34-0,쇼핑기타,6540
51,센터폴롯데동부산아울렛직영점,부산 기장군 기장해안로 147-0,쇼핑기타,6183
52,정관온천,부산 기장군 정관8로 16-5,온천,6174
53,하운드호텔기장일광점,부산 기장군 해송3로 2-0,호텔,6024
54,월전활어판매장,부산 기장군,농수축산물시장,5893
55,부산치유의숲,부산 기장군 철마천로 101-0,산림욕장,5881
56,이동방파제,부산 기장군 이천길 78-1,방파제,5868
57,다이소부산기장점,부산 기장군 차성동로 63-0,쇼핑기타,5629
58,정관도서관,부산 기장군 정관중앙로 138-11,문화생활시설기타,5520
59,소원사,부산 기장군 정관중앙로 198-0,절,5331
60,문동방파제,부산 기장군,방파제,5257
61,롯데시네마동부산아울렛,부산 기장군 기장해안로 147-0,극장,5040
62,히어로테마파크정관점,부산 기장군 정관중앙로 45-0,테마파크,4754
63,리버사이드,부산 기장군 일광로 582-44,펜션,4751
64,국립달음산자연휴양림,부산 기장군 화용길 299-106,자연휴양림,4670
65,기장월드컵빌리지,부산 기장군,운동장,4626
66,은진사,부산 기장군 고무로 271-47,절,4576
67,대변시장,부산 기장군,재래시장,4556
68,칠암항,부산 기장군,포구,4464
69,브라운도트호텔정관점,부산 기장군 산단1로 98-31,호텔,4304
70,동행복권판매점뉴빅마트,부산 기장군 정관중앙로 48-0,쇼핑기타,4260
71,브라운도트호텔기장연화리점,부산 기장군 연화길 46-5,호텔,4001
72,옥정사,부산 기장군 달음길 101-0,절,3758
73,캠핑고래부산기장점,부산 기장군 대청로71번길 49-0,쇼핑기타,3683
74,팔로스버디스,부산 기장군 장안로 8-0,골프장,3624
75,해동성취사,부산 기장군 일광로 429-0,절,3615
76,죽성방파제,부산 기장군,방파제,3570
77,이동항,부산 기장군 이동길 21-0,항구,3528
78,장안사계곡,부산 기장군,폭포/계곡,3451
79,테마숲,부산 기장군,공원,3372
80,프리모리캠핑,부산 기장군 예림1로 104-0,쇼핑기타,3326
81,기장멸치축제,부산 기장군,축제,3277
82,안데르센극장,부산 기장군 장안로 211-0,공연장,3251
83,탑마트기장서부점,부산 기장군 읍내로 49-0,쇼핑기타,3230
84,타이드어웨이풀빌라,부산 기장군 기장해안로 26-0,숙박기타,3072
85,길천방파제,부산 기장군,방파제,2963
86,기장군청소년수련관,부산 기장군 달음산길 106-0,수련장,2882
87,은아골프연습장,부산 기장군 산단로 112-0,골프장,2867
88,바모스승마클럽,부산 기장군 병산1길 0-0,승마장,2823
89,오시리아관광단지,부산 기장군 기장해안로 0-0,관광단지,2790
90,오시리아테마파크,부산 기장군,관광명소기타,2759
91,소두방공원,부산 기장군 정관중앙로 138-11,공원,2725
92,장안천야구장,부산 기장군 고무로 294-0,운동장,2724
93,대변어촌계해녀특산물판매장,부산 기장군 기장해안로 668-0,특산물단지,2679
94,호텔여기어때정관점,부산 기장군 산단2로 31-32,모텔/여관,2668
95,기장월드컵빌리지축구장,부산 기장군,운동장,2531
96,W배드민턴센터,부산 기장군 예림1로 75-1,레저/스포츠기타,2417
97,K2모텔,부산 기장군 산단1로 98-41,모텔/여관,2413
98,호텔오월,부산 기장군 차성로 365-0,모텔/여관,2403
99,문중방파제,부산 기장군,방파제,2393
100,토암도자기공원,부산 기장군 대변로 107-27,공원,2388
